Body Size,Body Weight,Height,Bone Structure,Complexion,General feel of skin,Texture of Skin,Hair Color,Appearance of Hair,Shape of face,Eyes,Eyelashes,Blinking of Eyes,Cheeks,Nose,Teeth and gums,Lips,Nails,Appetite,Liking tastes,Dosha,Metabolism Type,Climate Preference,Stress Levels,Sleep Patterns,Dietary Habits,Physical Activity Level,Water Intake,Digestion Quality,Skin Sensitivity
Medium,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Excessive Blinking,"Smooth, Flat","Pointed, Average","Irregular, Protruding teeth, Receding gums","Lips are large, soft, pink, and full","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Bitter / Astringent,vata+pitta,moderate,cool,moderate,moderate,omnivorous,high,moderate,moderate,insensitive
Large,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Thick and moist/greasy, cold",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are large, soft, pink, and full","Dry, Rough, Brittle, Break","Irregular, Scanty",Pungent / Bitter / Astringent,Vata,moderate,warm,low,long,omnivorous,sedentary,moderate,weak,insensitive
Medium,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Sour / Salty,Vata,moderate,cool,low,moderate,vegetarian,sedentary,moderate,moderate,normal
Large,Heavy - difficulties in losing weight,Average,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Lips are large, soft, pink, and full","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta,moderate,moderate,high,moderate,vegetarian,moderate,moderate,weak,normal
Large,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,More or less stable,"Rounded, Plump","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Bitter / Astringent,vata+pitta,fast,cool,high,moderate,omnivorous,moderate,moderate,moderate,sensitive
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Dry, pigments and aging","Red, light brown, yellow","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Moderate eyelashes,More or less stable,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta,fast,moderate,low,short,vegan,moderate,moderate,weak,insensitive
Slim,Low - difficulties in gaining weight,Average,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Thick/Fused eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata,moderate,warm,moderate,moderate,omnivorous,moderate,moderate,moderate,normal
Large,Heavy - difficulties in losing weight,Tall,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Thick and moist/greasy, cold",Oily,Brown,"Thick, curly","Large, round, full","Big, round, beautiful, glowing eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Kapha,moderate,warm,moderate,moderate,omnivorous,moderate,high,weak,normal
Medium,Low - difficulties in gaining weight,Short,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Vata,moderate,warm,high,short,vegetarian,sedentary,moderate,strong,normal
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Small, active, darting, dark eyes",Thick/Fused eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Bitter / Astringent,vata+pitta,moderate,cool,high,long,vegan,sedentary,moderate,weak,normal
Large,Heavy - difficulties in losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Thick and moist/greasy, cold","Freckles, many moles, redness and rashes","Red, light brown, yellow","Thick, curly","Large, round, full","Big, round, beautiful, glowing eyes",Moderate eyelashes,Moderate Blinking,"Rounded, Plump","Pointed, Average","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Pungent / Bitter / Astringent,vata+kapha,moderate,warm,low,moderate,vegetarian,high,moderate,moderate,sensitive
Medium,Low - difficulties in gaining weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Bitter / Astringent,vata+pitta,fast,cool,moderate,moderate,omnivorous,high,high,strong,sensitive
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Bitter / Astringent,Vata,slow,warm,moderate,moderate,vegetarian,moderate,moderate,moderate,normal
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Irregular, Scanty",Pungent / Bitter / Astringent,Vata,slow,warm,low,moderate,vegetarian,sedentary,moderate,strong,insensitive
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Pungent / Bitter / Astringent,Pitta,slow,cool,moderate,moderate,omnivorous,moderate,moderate,strong,normal
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,Pitta,fast,cool,low,moderate,vegetarian,moderate,high,moderate,sensitive
Large,Heavy - difficulties in losing weight,Tall,"Large, broad shoulders , heavy bone structure","White, pale, tans easily","Thick and moist/greasy, cold",Oily,Brown,"Thick, curly","Large, round, full","Big, round, beautiful, glowing eyes",Thick/Fused eyelashes,More or less stable,"Rounded, Plump","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Lips are large, soft, pink, and full","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,Kapha,moderate,moderate,high,moderate,vegetarian,moderate,moderate,weak,normal
Slim,Low - difficulties in gaining weight,Average,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough","Freckles, many moles, redness and rashes","Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Sour / Salty,vata+pitta,moderate,warm,moderate,short,vegan,moderate,high,moderate,normal
Medium,Heavy - difficulties in losing weight,Short,"Light, Small bones, prominent joints","Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Red, light brown, yellow","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Irregular, Protruding teeth, Receding gums","Lips are large, soft, pink, and full","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Bitter / Astringent,Vata,fast,warm,moderate,moderate,omnivorous,sedentary,moderate,weak,sensitive
Slim,Low - difficulties in gaining weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Dry, pigments and aging","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Moderate Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Dry, Rough, Brittle, Break","Strong, Unbearable",Sweet / Sour / Salty,vata+pitta,fast,cool,high,long,omnivorous,sedentary,moderate,weak,sensitive
Medium,Low - difficulties in gaining weight,Short,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough","Dry, pigments and aging",Brown,"Dry, black, knotted, brittle","Long, angular, thin","Medium-sized, penetrating, light-sensitive eyes",Moderate eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are large, soft, pink, and full","Sharp, Flexible, Pink, Lustrous",Slow but steady,Pungent / Bitter / Astringent,vata+pitta,moderate,warm,high,moderate,vegetarian,sedentary,moderate,moderate,sensitive
Slim,Heavy - difficulties in losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Smooth and warm, oily T-zone","Freckles, many moles, redness and rashes","Black/Brown,dull","Straight, oily","Large, round, full","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Bitter / Astringent,vata+pitta,fast,moderate,moderate,moderate,omnivorous,moderate,high,weak,normal
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Thick and moist/greasy, cold","Dry, pigments and aging","Black/Brown,dull","Straight, oily","Long, angular, thin","Big, round, beautiful, glowing eyes",Scanty eyelashes,Excessive Blinking,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous","Irregular, Scanty",Sweet / Sour / Salty,Vata,fast,moderate,moderate,short,omnivorous,moderate,moderate,moderate,sensitive
Slim,Low - difficulties in gaining weight,Short,"Light, Small bones, prominent joints",Fair-skin sunburns easily,"Smooth and warm, oily T-zone",Oily,Brown,"Dry, black, knotted, brittle","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,Moderate Blinking,"Rounded, Plump","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished","Irregular, Scanty",Sweet / Bitter / Astringent,Vata,moderate,moderate,moderate,moderate,vegetarian,moderate,high,weak,normal
Large,Heavy - difficulties in losing weight,Tall,Medium bone structure,"White, pale, tans easily","Smooth and warm, oily T-zone",Oily,"Black/Brown,dull","Dry, black, knotted, brittle","Large, round, full","Small, active, darting, dark eyes",Thick/Fused eyelashes,Moderate Blinking,"Wrinkled, Sunken","Rounded, Large open nostrils","Big, White, Strong teeth, Healthy gums","Tight, thin, dry lips which chaps easily","Thick, Oily, Smooth, Polished",Slow but steady,Sweet / Sour / Salty,pitta+kapha,moderate,moderate,high,moderate,vegetarian,sedentary,moderate,moderate,sensitive
Medium,Moderate - no difficulties in gaining or losing weight,Average,Medium bone structure,Fair-skin sunburns easily,"Dry and thin, cool to touch, rough",Oily,"Red, light brown, yellow","Straight, oily","Heart-shaped, pointed chin","Medium-sized, penetrating, light-sensitive eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Irregular, Protruding teeth, Receding gums","Lips are soft, medium-sized","Sharp, Flexible, Pink, Lustrous","Strong, Unbearable",Sweet / Sour / Salty,Pitta,moderate,warm,low,moderate,vegan,high,moderate,strong,normal
Slim,Moderate - no difficulties in gaining or losing weight,Short,Medium bone structure,"Dark-Complexion, tans easily","Dry and thin, cool to touch, rough",Oily,"Black/Brown,dull","Thick, curly","Long, angular, thin","Small, active, darting, dark eyes",Scanty eyelashes,Moderate Blinking,"Smooth, Flat","Pointed, Average","Irregular, Protruding teeth, Receding gums","Tight, thin, dry lips which chaps easily","Sharp, Flexible, Pink, Lustrous",Slow but steady,Sweet / Sour / Salty,Vata,moderate,moderate,moderate,long,vegan,high,moderate,strong,normal
Slim,Moderate - no difficulties in gaining or losing weight,Average,"Light, Small bones, prominent joints","White, pale, tans easily","Thick and moist/greasy, cold","Freckles, many moles, redness and rashes","Black/Brown,dull","Dry, black, knotted, brittle","Heart-shaped, pointed chin","Small, active, darting, dark eyes",Scanty eyelashes,More or less stable,"Wrinkled, Sunken","Crooked, Narrow","Medium-sized teeth, Reddish gums","Lips are soft, medium-sized","Dry, Rough, Brittle, Break","Irregular, Scanty",Sweet / Sour / Salty,Vata,moderate,moderate,low,moderate,omnivorous,sedentary,moderate,weak,sensitive
